STIDSTD,Gender,ESCS,MATH_avg_score,READ_avg_score,SCIE_avg_score,Total_Avg
230,Male,-0.46,498.29412,487.88516,503.58074,496.5866733
231,Male,-1.79,655.32792,562.9472,595.71056,604.6618933
232,Male,-1.85,657.27528,568.15984,585.0802,603.5051067
233,Female,-1.59,448.05264,514.08144,487.91492,483.3496667
234,Male,-0.36,742.33526,653.72736,677.67626,691.2462933
235,Male,-0.71,595.50554,538.32748,571.55912,568.4640467
236,Male,-0.47,627.67566,498.55098,568.66842,564.96502
237,Male,-0.55,606.33274,550.27646,584.05446,580.22122
238,Female,-1.07,550.40506,529.33222,509.36216,529.6998133
239,Female,0.17,526.56956,535.05124,535.00562,532.2088067
240,Female,0.74,740.6995,654.67434,640.65648,678.6767733
241,Female,-0.72,774.3496,695.10474,675.62476,715.0263667
242,Male,-0.53,720.3692,648.27414,681.21968,683.2876733
243,Female,0.11,624.482,586.9197,570.44016,593.9472867
244,Male,-1.74,630.24616,574.6556,631.3316,612.0777867
245,Male,-0.71,710.00934,601.1198,657.06826,656.0658
246,Male,-0.56,566.45114,508.89606,567.54942,547.6322067
247,Male,-0.18,746.38574,622.4515,665.74038,678.19254
248,Male,-0.01,704.94624,611.70546,667.97836,661.5433533
249,Female,-1.16,636.47764,582.86872,563.25998,594.2021133
250,Male,0.23,749.11202,663.11012,712.9243,708.3821467
251,Male,-0.26,767.8065,679.95098,725.04662,724.2680333
252,Female,-0.81,701.05156,641.56824,653.61806,665.41262
253,Female,-0.81,745.451,646.81068,670.86908,687.7102533
254,Female,-0.94,653.38062,595.25996,587.50468,612.04842
255,Female,-1.11,653.06902,574.60788,588.5304,605.4024333
256,Female,-0.35,623.78096,585.25164,578.45954,595.8307133
257,Male,0.14,657.58686,571.28742,614.26706,614.3804467
258,Female,-0.79,769.5981,671.75202,670.3096,703.8865733
259,Female,-0.1,750.59198,673.34062,699.21672,707.71644
260,Male,0.19,742.72474,639.85372,690.5446,691.04102
261,Male,-1.37,814.1533,695.6691,705.37114,738.3978467
262,Male,-0.02,766.94968,658.94004,677.11674,701.0021533
263,Male,0.44,669.34878,587.24612,624.71094,627.1019467
264,Female,-1.9,695.8327,637.59666,628.2544,653.8945867
265,Female,-0.37,666.15518,590.65294,584.80044,613.86952
266,Male,0.12,711.64512,617.39926,622.84594,650.6301067
267,Male,0.66,741.94578,618.76256,667.32562,676.01132
268,Male,-1.9,680.17606,582.59486,626.85566,629.8755267
269,Female,0.34,639.12602,592.79756,602.14472,611.3561
270,Female,-0.12,707.82832,630.68614,634.87504,657.7965
271,Male,0.25,660.78048,574.09422,588.7169,607.8638667
